课程名称,选课人数,学校,老师
C++语言程序设计基础,424200,清华大学,郑莉、李超、徐明星
数据结构(上),410783,清华大学,邓俊辉
数据结构（下）,358574,清华大学,邓俊辉
Java程序设计,195257,清华大学,郑莉
操作系统,193059,清华大学,向勇、陈渝
网络技术与应用,175781,中国人民解放军陆军工程大学,沈鑫剡、俞海英、李兴德、许继恒、钱万正、徐海斌、魏涛、宋以胜
C++语言程序设计进阶,117467,清华大学,郑莉、李超、徐明星
C程序设计案例教程（基础）,113433,中国农业大学,张莉
C程序设计案例教程（进阶）,110253,中国农业大学,张莉
数据挖掘：理论与算法,107925,清华大学,袁博
大数据技术与应用,97955,清华大学,李军
软件工程,93732,清华大学,刘强、刘璘
计算机文化基础,83714,清华大学,李秀、姚瑞霞、安颖莲、全成斌
程序设计基础,80793,清华大学,徐明星、王瑀屏、邬晓钧
组合数学,74396,清华大学,马昱春
大数据系统基础,74247,清华大学,王建民、徐葳、陈康、陈文光
VC++面向对象与可视化程序设计（上）：Windows编程基础,69321,清华大学,黄维通
VC++面向对象与可视化程序设计（下）：MFC编程基础,67921,清华大学,黄维通
人工智能原理,63706,北京大学,王文敏
大数据平台核心技术,62951,清华大学,武永卫、姚文辉、陶阳宇、冯骁、谢德军
大学计算机教程,62258,中国农业大学,张莉、马钦
Web前端攻城狮,57698,清华大学,刘强、吴亮、赵文博
Office办公软件应用,57532,河北工业大学,史巧硕、朱怀忠、刘洪普、李娟
汇编语言程序设计,55233,清华大学,张悠慧、翟季冬
计算机应用基础,55116,陕西工业职业技术学院,宋承继、李莹、李龙龙
微软亚洲研究院大数据系列讲座,52832,Microsoft,洪小文、宋睿华、谢幸、郑宇、张洪宇
算法设计与分析,51349,清华大学,王振波
学做小程序——基础篇,51069,清华大学,刘强、小程序慕课讲师
大学计算机——计算思维的视角,49725,山东大学,郝兴伟
面向对象程序设计（C++）,49059,清华大学,黄震春、徐明星
数据科学导论,48674,清华大学,袁博、何隽
大学计算机基础,46907,湖北大学,卫春芳
基于Linux的C++,45903,清华大学,乔林
大学计算机基础,45115,华南理工大学,徐红云、刘欣欣、曹晓叶
计算机网络,44643,华南理工大学,袁华、杜广龙、张凌
JAVA程序设计进阶,42074,清华大学,许斌
Web开发技术,38319,重庆大学,陈静、王成良、祝伟华
计算几何,38155,清华大学,邓俊辉
程序设计基础（上）,36495,南开大学,赵宏、闫晓玉、李妍、王恺、李敏
大数据机器学习,35744,清华大学,袁春
ARM微控制器与嵌入式系统,35463,清华大学,曾鸣、薛涛、龚光华
R语言数据分析,35442,北京邮电大学,艾新波
单片机原理及应用,34773,绵阳职业技术学院,杨居义、王颖丽、蒲敏、向兵
程序设计基础（下）,32428,南开大学,赵宏、李妍、闫晓玉、王恺、李敏
高级大数据系统,31639,清华大学,王智
Python程序设计基础,31311,深圳信息职业技术学院,许志良
大学计算机基础,30512,南开大学,李敏、高裴裴、郭蕴、赵宏、刘哲理、路明晓、李妍、闫晓玉、宋丽培
移动快速应用开发,27496,芜湖职业技术学院,唐贤传、盛鸿宇、王婷婷、汤恒、胡万福
人工智能,26874,江西理工大学,罗会兰
数据库技术与程序设计,26799,南开大学,高裴裴、李敏、袁晓洁、赵宏、路明晓、康介恢、闫晓玉、李妍、郭蕴
Linux 内核分析与应用,25967,西安邮电大学,陈莉君、谢宝友、张天飞、王小银、刘霞林、张丽丽
科学计算与MATLAB语言,25359,中南大学,刘卫国、蔡旭晖、吕格莉、何小贤
网络安全概述,24948,学堂在线,纪平
区块链和加密数字货币,24841,清华大学,罗玫
互联网大规模数据分析技术,24692,武汉理工大学,李琳、张蕊
大学物理,24228,燕山大学,侯岩雪、张素红、赵原源、李子敬、王晓颖、王明利、韩振丽、丁喜峰
Foundations of Computer Graphics,23609,加州大学伯克利分校,Ravi Ramamoorthi
C语言程序设计（上）,23208,北京理工大学,李凤霞、陈宇峰、赵三元
C君带你玩编程,22942,昆明理工大学,方娇莉、潘晟旻、普运伟、耿植林、郭玲、田春瑾、刘领兵、黎志、杜文方、郑明雄
数据库系统（上）：模型与语言,22916,哈尔滨工业大学,战德臣
计算机操作系统,21479,南京大学,骆斌、葛季栋
Android应用开发基础,21408,深圳信息职业技术学院,赖红、李钦、李华忠
程序设计基础,20680,电子科技大学,吴劲、傅翀、吴佳、罗绪成、王瑞锦、张翔、张学、程红蓉、白忠建、陈伟、江春华
微机原理与接口技术,20549,西安交通大学,吴宁
软件理论基础,19973,清华大学,罗贵明
小波与科学,19624,哈尔滨工业大学,冉启文、严质彬、肖宇、张海莹、杨占文、李莉
大数据治理与政策,19227,清华大学,孟庆国、张楠、郑磊
智能车制作：嵌入式系统,18933,清华大学,曾鸣
智能车制作：电子技术,18210,清华大学,任艳频
C语言程序设计基础,18053,贵州理工学院,李丹、耿植、杨琼、高腾刚
学做小程序——实战篇：树洞小程序,17981,清华大学,刘强、施建锋、伊甸、小程序慕课讲师
数据结构与算法设计,17973,西安科技大学,张小艳、史晓楠、李占利、丁雪芳、冀汶莉、王昱哲、齐爱玲、杨晓强
计算机文化基础,17887,绵阳职业技术学院,杨居义
小白学人工智能,17823,华南理工大学,李粤
编译技术,17623,西安邮电大学,王曙燕、初建玮、王春梅、陈燕、黄茹、曾艳
软件设计模式,17064,中国科学技术大学,朱洪军
移动互联网开发,16700,江苏大学,朱轶
数据结构（Data Structures）,16550,华南理工大学,吕建明、张见威、肖南峰
SQL SERVER数据库技术,16412,陕西工业职业技术学院,刘引涛、戚娜、李俊、任婕
高级数据库系统,16087,北京工业大学,杜金莲
软件测试,15926,西北工业大学,郑炜、黄松、倪爱军、刘中、于婷婷、吴潇雪
C语言程序设计,15822,云南大学,丁海燕、胡盛
大学计算机,15736,北京理工大学,李凤霞、陈宇峰、赵三元
计算机通信网络,15468,西北工业大学,卢选民、闫中江、赵宏伟
物联网工程导论,14981,云南大学,普园媛、何乐生、余鹏飞、杨艳华、艾昌文、尉洪、常俊、周永录、刘宏杰
Java程序设计基础,14808,深圳信息职业技术学院,赖红、李钦、覃国蓉、魏勇
Petri网：模型、理论与应用,14520,清华大学,袁崇义、闻立杰、王建民
Linux系统管理,14208,宁波城市职业技术学院,颜晨阳
微软--计算机视觉论文分享课,12997,,
网络、群体与市场,12821,武汉理工大学,石兵
大数据算法,12808,哈尔滨工业大学,王宏志
玩转计算机二级—office高级修炼,12495,内蒙古师范大学,苟燕、王强、刘志国、侯欣舒
嵌入式系统设计,12486,电子科技大学,杨峰
数据库系统（中）：建模与设计,12029,哈尔滨工业大学,战德臣
信息安全技术,11942,哈尔滨工程大学,孙建国、赵国冬、兰海燕
数据库系统原理与开发,11619,电子科技大学,陆鑫、张凤荔、陈安龙
数据库系统（下）：管理与技术,11463,哈尔滨工业大学,战德臣
大学物理（力学）,11356,哈尔滨工业大学,孟庆鑫、韩权
C语言程序设计（下）,11218,北京理工大学,李凤霞、陈宇峰、薛庆、赵三元
深度学习基础,11180,哈尔滨工业大学,刘远超
程序设计基础,11024,哈尔滨工业大学,叶麟、苏小红、赵玲玲
软件工程与软件自动化,10953,北京理工大学,高玉金、王一拙
高级操作系统,10936,清华大学,陈渝
计算机程序设计基础,10802,清华大学,乔林
软件工程,10647,东北大学,张爽
大学计算机基础与应用,10637,燕京理工学院,李丽芬、邵芬红、韩海花、陈晓芳
Linux操作系统分析,10595,中国科学技术大学,孟宁
Python大数据分析,10481,山东大学,崔立真、鹿旭东、潘鹏
计算机网络 Computer Networks,10463,华南理工大学,王昊翔
Linux导论,10340,学堂在线,杰里•库伯斯坦
信息素养-互联网+时代的学习与生活,10224,滁州学院,陈桂林、赵生慧、于春燕、张志勇、徐志红、胡晓静
计算机控制导论,10195,山东大学,李东升
计算机绘图与CAD,10086,大连工业大学,张鹏
信息隐藏技术,9673,长安大学,任帅
北大AI公开课,9670,北京大学,雷鸣
This is AI,9592,学堂在线,IBM Research
智能设备应用开发（基于Android平台）,9366,山东商业职业技术学院,贾连芹、周倩、王军、徐红
计算机绘图,9354,宁波大红鹰学院,涂晶洁
计算机程序设计,9279,国防科技大学,周会平
Python语言程序设计,8585,浙江财经大学东方学院,杨洁、曲著伟、李在伟、周家地、卢永江、应芳琴、廖一星、刘毅、张铭
5G与人工智能,8567,湖北师范大学,胡白燕、王润
设计思维,8477,西安工程大学,刘静伟、孟浏今、厉谦、吴龙、薛媛
程序设计语言（C语言）,8167,湖北职业技术学院,李岚
Python爬虫入门实战,8125,清华大学,饶淙元
高性能计算机网络,8062,武汉理工大学,颜昕
数据挖掘,7961,天津大学,喻梅、王建荣、于健、徐天一、赵满坤、高洁、刘志强
媒体大数据挖掘与案例实战,7685,中国传媒大学,沈浩
计算机基础与应用,7650,云南财经大学,李春宏、徐娟、沙莉、玄文启、沈湘芸、何锋
计算机组成原理,7561,电子科技大学,纪禄平
微电子工艺,7521,哈尔滨工业大学,田丽、王蔚
计算思维导论,6953,广西科技大学,唐培和、徐奕奕
嵌入式系统理论与技术,6368,武汉科技大学,胡威、施青松
万物互联,6265,青海师范大学,杜秀娟
